email,timestamp,emotion,confidence,model_type,session_id
test@gmail.com,2025-03-10 03:10:11,neutral,0.826259434223175,doctor-patient,933c1bb2-da8f-4ed2-82f7-e1df90bc5621
test@gmail.com,2025-03-10 03:10:11,neutral,0.826259434223175,doctor-patient,933c1bb2-da8f-4ed2-82f7-e1df90bc5621
test@gmail.com,2025-03-10 03:10:11,neutral,0.6579453349113464,doctor-patient,933c1bb2-da8f-4ed2-82f7-e1df90bc5621
test@gmail.com,2025-03-10 03:10:11,sad,0.4956512451171875,doctor-patient,933c1bb2-da8f-4ed2-82f7-e1df90bc5621
test@gmail.com,2025-03-10 03:10:11,contempt,0.7789789438247681,doctor-patient,933c1bb2-da8f-4ed2-82f7-e1df90bc5621
test@gmail.com,2025-03-10 03:10:11,neutral,0.7879189848899841,doctor-patient,933c1bb2-da8f-4ed2-82f7-e1df90bc5621
test@gmail.com,2025-03-10 03:10:11,sad,0.5991423726081848,doctor-patient,933c1bb2-da8f-4ed2-82f7-e1df90bc5621
test@gmail.com,2025-03-10 03:10:11,sad,0.5991423726081848,doctor-patient,933c1bb2-da8f-4ed2-82f7-e1df90bc5621
test@gmail.com,2025-03-10 03:10:11,neutral,0.742667555809021,doctor-patient,933c1bb2-da8f-4ed2-82f7-e1df90bc5621
test@gmail.com,2025-03-10 03:10:11,sad,0.3961990177631378,doctor-patient,933c1bb2-da8f-4ed2-82f7-e1df90bc5621
test@gmail.com,2025-03-10 03:10:11,sad,0.3961990177631378,doctor-patient,933c1bb2-da8f-4ed2-82f7-e1df90bc5621
test@gmail.com,2025-03-10 03:10:11,sad,0.8811076879501343,doctor-patient,933c1bb2-da8f-4ed2-82f7-e1df90bc5621
test@gmail.com,2025-03-10 03:10:12,sad,0.5417951345443726,doctor-patient,933c1bb2-da8f-4ed2-82f7-e1df90bc5621
test@gmail.com,2025-03-10 03:10:12,sad,0.9389969110488892,doctor-patient,933c1bb2-da8f-4ed2-82f7-e1df90bc5621
